Gene_ID,Transcript_ID,Average Oocyte(RPKM),Average Zygote(RPKM),Average 2-cell embryo(RPKM),Average 4-cell embryo(RPKM),Average 8-cell embryo(RPKM),Average Morulae(RPKM),Average Trophectoderm(RPKM),Average Primitive endoderm(RPKM),Average epiblast(RPKM),Average hESC passage#0(RPKM),Average hESC passage#10(RPKM)
METTL11A,"NM_014064, ",0.565,4.398,2.484,2.812,48.094,64.18,87.05,101.947,47.937,41.452,53.324
EPB41L4A,"NM_022140, ",10.415,18.64,15.524,12.45,6.122,7.22,1.813,0.453,6.387,3.47,3.385
SH2D6,"NM_198482, ",0.0,0.0,0.0,0.0,0.023,0.139,0.0,0.0,0.0,0.0,0.044
NUDT4P1,"NR_002212, ",9.594,8.625,5.999,5.035,37.47,57.663,29.045,24.436,47.016,8.97,4.804
SNAR-A7,"NR_024224, NR_024224, NR_024224, NR_024224, NR_024224, NR_024224, NR_024224, NR_024224, NR_024224, NR_024224, ",0.0,0.0,0.065,0.088,0.0,0.077,0.06,0.047,0.0,0.0,0.0
TAF4B,"NM_005640, ",44.886,38.954,16.526,24.307,31.282,23.476,15.065,8.51,32.843,10.276,9.515
GAL3ST3,"NM_033036, ",0.0,0.0,0.044,0.113,0.029,0.545,0.0,0.0,0.0,2.432,1.395
RTDR1,"NM_014433, ",0.653,0.478,0.392,0.579,0.015,0.215,0.0,0.0,0.0,0.0,0.878
MALT1,"NM_006785, NM_173844, ",3.736,4.661,2.65,5.641,4.744,2.584,1.616,0.989,4.488,3.569,1.978
ARVCF,"NM_001670, ",0.0,0.0,0.0,0.0,0.026,0.0,0.151,0.0,0.0,0.65,0.593
MEX3B,"NM_032246, ",0.207,0.22,0.055,0.06,31.341,5.112,0.213,0.033,0.085,3.367,3.318
FBXO16,"NM_172366, ",3.43,16.386,5.89,24.963,1.747,0.597,0.0,0.0,0.0,2.84,4.433
KIF7,"NM_198525, ",0.195,2.124,1.526,1.464,0.213,0.239,0.041,1.85,0.228,2.683,2.115
ZNF85,"NM_003429, NR_034060, ",5.676,6.034,3.315,3.337,4.15,6.589,2.137,4.069,3.894,10.35,8.287
MMP13,"NM_002427, ",0.0,0.0,0.0,0.0,1.043,1.012,0.0,0.0,0.0,0.0,0.0
GOLGA8E,"NR_033350, ",0.176,0.471,0.293,0.719,0.313,0.149,0.0,0.0,0.0,0.0,0.0
RTP3,"NM_031440, ",0.0,0.0,0.0,0.712,1.356,13.755,12.139,16.212,37.056,0.0,0.0
ZBED3,"NM_032367, ",2.143,1.559,1.948,0.985,0.219,0.0,0.0,0.0,0.162,0.037,0.842
FAM127C,"NM_001078173, ",0.0,0.0,0.0,0.939,2.664,0.0,0.13,1.207,5.95,3.546,4.454
KDM4D,"NM_018039, ",6.565,6.691,4.044,6.203,5.325,3.584,0.672,0.0,2.382,0.568,1.293
CLGN,"NM_001130675, NM_004362, ",0.082,0.112,0.0,0.472,2.279,2.346,0.591,0.402,0.0,0.952,1.804
SLC25A37,"NM_016612, ",40.15,11.313,10.774,13.397,1.106,4.176,13.769,4.311,8.899,21.798,29.506
SMARCC2,"NM_001130420, NM_003075, NM_139067, ",29.159,34.572,37.285,36.002,9.515,3.393,3.314,4.519,3.732,7.49,13.181
FAM109A,"NM_001177996, NM_001177997, NM_144671, ",0.0,0.11,0.158,0.21,0.657,1.013,1.191,1.018,2.217,0.737,0.745
CCDC12,"NM_144716, ",9.419,9.311,7.736,11.539,227.126,140.931,51.764,33.678,48.306,37.343,61.569
AMBRA1,"NM_017749, ",3.286,37.281,33.872,44.016,8.401,3.268,0.757,1.699,0.745,1.479,2.032
USF2,"NM_003367, NM_207291, ",49.135,27.813,21.967,26.65,6.342,9.353,9.012,26.445,18.168,14.814,17.85
DEPDC7,"NM_001077242, NM_139160, ",566.916,412.915,316.12,67.405,25.783,7.579,0.0,2.676,0.117,4.1,2.67
C20orf24,"NM_018840, NM_199483, NR_026562, ",83.164,45.03,28.386,21.423,78.417,69.1,63.434,74.586,47.23,36.786,34.342
DSP,"NM_001008844, NM_004415, ",0.083,0.048,0.0,0.125,0.362,2.239,29.61,23.796,14.212,7.997,3.857
DGCR9,"NR_024159, ",0.0,0.0,0.0,0.0,0.0,0.295,0.0,0.0,0.0,0.0,0.045
FAM20A,"NM_017565, NR_027751, ",0.0,0.0,0.0,0.074,0.089,0.0,0.0,0.423,3.663,0.342,4.607
IRF2BP2,"NM_001077397, NM_182972, ",1.548,2.805,2.117,3.257,7.33,4.119,7.066,4.759,27.138,20.738,10.916
ZNF230,"NM_006300, ",0.0,0.0,0.054,0.216,1.467,3.044,0.186,0.119,3.299,1.646,0.478
FAM66D,"NR_027425, ",0.086,0.112,0.105,0.15,0.034,0.049,0.0,0.0,0.0,0.265,0.125
MSN,"NM_002444, ",0.0,0.0,0.0,0.145,1.137,1.044,4.24,1.922,4.641,5.068,12.73
SLC9A5,"NM_004594, ",0.0,0.073,0.044,0.0,0.015,0.015,0.0,0.0,0.0,0.888,1.063
