Gene_ID,Transcript_ID,Average Oocyte(RPKM),Average Zygote(RPKM),Average 2-cell embryo(RPKM),Average 4-cell embryo(RPKM),Average 8-cell embryo(RPKM),Average Morulae(RPKM),Average Trophectoderm(RPKM),Average Primitive endoderm(RPKM),Average epiblast(RPKM),Average hESC passage#0(RPKM),Average hESC passage#10(RPKM)
C9orf152,"NM_001012993, ",0.0,0.0,0.036,0.0,0.095,0.012,0.129,0.0,0.0,0.0,0.0
RPS11,"NM_001015, ",1057.517,850.277,1507.581,3971.046,4303.018,2895.275,1384.116,2670.108,1968.631,2070.786,2659.038
ELMO2,"NM_133171, NM_182764, ",9.486,60.506,55.716,66.985,12.81,5.074,2.296,0.225,3.047,3.41,2.937
CREB3L1,"NM_052854, ",1.457,1.323,1.231,2.079,0.675,0.094,0.0,4.285,1.625,3.318,4.076
PNMA1,"NM_006029, ",1.382,5.421,3.781,3.364,27.055,34.535,12.948,9.106,15.112,18.029,11.297
MMP2,"NM_001127891, NM_004530, ",0.0,0.0,0.0,0.0,0.286,0.064,0.012,0.419,20.926,2.909,5.764
TMEM216,"NM_001173990, NM_001173991, NM_016499, ",11.753,2.259,3.233,6.653,1.532,0.5,2.106,4.801,0.0,19.723,7.749
LOC653712,"NR_034179, ",0.335,0.353,0.584,0.693,0.39,0.389,0.148,1.106,1.844,0.184,0.009
C10orf90,"NM_001004298, ",1.955,0.9,1.246,1.438,0.161,0.064,0.0,0.413,0.274,0.0,0.0
ZHX3,"NM_015035, ",19.978,33.526,29.647,44.984,4.443,3.424,0.486,0.109,1.133,0.726,0.408
ERCC5,"NM_000123, ",21.522,17.848,10.448,18.728,11.366,6.631,2.759,3.753,1.894,18.375,7.812
GPR98,"NM_032119, NR_003149, ",0.481,0.554,0.365,0.769,0.609,0.197,0.0,0.0,0.0,1.594,1.664
RXFP3,"NM_016568, ",0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0
APBB2,"NM_001166050, NM_001166051, NM_001166052, NM_001166053, NM_001166054, NM_004307, NM_173075, ",6.773,8.088,5.123,9.765,6.109,10.248,1.358,3.21,4.137,3.562,5.025
KLHL13,"NM_001168299, NM_001168300, NM_001168301, NM_001168302, NM_001168303, NM_033495, ",0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.339,2.039
PRSSL1,"NM_214710, ",0.0,0.0,0.0,0.0,0.0,0.452,0.0,0.0,0.0,0.0,0.0
PDCL3,"NM_024065, ",798.195,571.87,722.208,488.545,1380.729,1636.053,1703.997,243.585,588.405,52.063,42.011
AEN,"NM_022767, ",5.262,12.827,10.129,14.765,48.702,58.663,35.598,51.474,38.865,75.373,53.628
FRG2,"NM_001005217, NM_001005217, ",0.088,0.334,0.148,51.072,34.968,215.322,0.621,0.0,0.0,0.0,0.0
DECR1,"NM_001359, ",1.054,2.798,1.197,2.451,1.044,0.0,8.508,7.557,0.303,38.118,39.476
SALL1,"NM_001127892, NM_002968, ",0.0,0.0,0.0,0.0,1.823,1.813,0.051,0.949,3.092,4.99,2.732
GGT3P,"NR_003267, ",0.0,0.039,0.08,0.678,0.244,0.022,0.0,0.055,0.0,0.0,0.116
CADM4,"NM_145296, ",0.0,0.0,0.0,0.0,0.029,0.271,0.0,0.0,0.858,0.052,0.279
RPS18,"NM_022551, NM_022551, NM_022551, NM_022551, NM_022551, NM_022551, ",902.924,743.775,1109.468,2471.739,3434.471,3281.202,2656.597,5668.809,4362.296,5798.746,5493.949
SLC10A7,"NM_001029998, NM_032128, ",0.722,1.226,0.969,0.656,0.567,0.693,1.915,1.468,0.547,0.341,0.175
OR2K2,"NM_205859, ",0.0,0.0,0.0,0.0,0.558,0.0,0.0,0.0,0.0,0.0,0.0
BRIX1,"NM_018321, ",104.616,132.736,127.649,160.772,328.669,255.813,126.232,97.867,74.829,158.356,91.387
LMAN1,"NM_005570, ",30.807,25.735,25.768,35.38,18.796,26.872,37.691,13.17,34.049,26.253,20.94
CHD8,"NM_001170629, NM_020920, ",23.449,19.192,17.778,17.302,12.487,10.232,3.979,2.112,2.862,9.836,11.572
SUMO1,"NM_001005781, NM_001005782, NM_003352, ",153.079,100.175,90.319,98.397,64.305,97.17,82.631,124.886,70.423,333.093,233.459
GP1BA,"NM_000173, ",0.703,0.574,0.671,1.492,0.324,0.0,0.0,0.0,0.0,0.0,0.147
UQCR11,"NM_006830, ",8.051,2.849,2.438,2.541,4.191,16.854,64.043,144.797,81.273,66.335,97.767
DDB1,"NM_001923, ",30.448,28.629,20.865,39.29,21.403,18.492,40.669,59.2,53.769,54.222,53.92
MYO9B,"NM_001130065, NM_004145, ",0.373,1.334,1.061,2.124,0.911,0.667,0.522,0.27,4.518,1.267,2.466
CRNKL1,"NM_016652, ",8.013,21.292,19.464,18.704,17.088,12.433,5.483,7.556,8.435,8.684,9.113
C9orf45,"NR_026677, ",0.0,0.0,0.018,0.009,0.011,0.074,0.583,1.153,0.075,2.401,1.061
XAB2,"NM_020196, ",0.061,2.105,0.335,3.805,2.418,0.457,0.566,0.171,0.2,3.591,8.118
RTN1,"NM_021136, NM_206852, NM_206857, ",2.028,0.683,0.972,1.058,0.324,0.0,0.0,0.0,0.0,0.165,1.016
KLHL14,"NM_020805, ",0.101,0.038,0.135,0.307,0.011,0.0,0.033,0.0,0.0,1.015,0.868
ADAM21P1,"NR_003951, ",0.0,0.102,0.035,0.279,0.0,0.114,0.0,0.0,0.0,0.0,0.0
ZBTB12,"NM_181842, NM_181842, NM_181842, NM_181842, NM_181842, ",0.065,0.115,0.033,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0
UTY,"NM_007125, NM_182659, NM_182660, ",0.0,0.0,0.0,0.0,0.16,2.645,0.964,0.0,0.044,2.49,1.41
CENPQ,"NM_018132, ",11.898,43.52,31.974,14.806,15.427,23.626,18.369,3.018,13.489,14.727,9.362
ZAR1L,"NM_001136571, ",928.383,493.426,389.694,365.558,36.926,10.963,0.045,4.727,0.037,0.0,0.357
DTNBP1,"NM_032122, NM_183040, NM_183041, NR_036448, ",37.199,28.888,15.875,42.167,7.774,7.353,4.464,11.002,14.186,6.84,8.44
KBTBD8,"NM_032505, ",0.799,5.178,3.798,3.004,5.581,0.843,0.817,0.546,1.103,2.466,1.554
ZEB1,"NM_001128128, NM_001174093, NM_001174094, NM_001174095, NM_001174096, NM_030751, ",3.012,3.807,3.29,9.864,1.763,2.945,0.0,0.0,0.0,0.0,0.04
ZG16,"NM_152338, ",0.0,0.0,0.0,0.0,0.0,0.083,0.515,0.0,0.0,0.0,0.0
FAT4,"NM_024582, ",0.0,0.0,0.0,0.0,0.0,0.136,0.0,0.0,0.0,1.29,0.887
MIER1,"NM_001077700, NM_001077701, NM_001077702, NM_001077703, NM_001077704, NM_001146110, NM_001146111, NM_001146112, NM_001146113, NM_020948, ",6.173,10.451,7.098,10.162,9.327,9.427,8.537,0.888,8.144,5.787,7.373
CHD9,"NM_025134, ",1.565,1.27,1.136,1.46,1.562,2.8,1.04,0.225,1.443,0.968,4.67
ADAM5P,"NR_001448, ",0.0,0.0,0.0,0.024,0.376,0.13,0.0,0.0,0.0,0.0,0.0
STK16,"NM_001008910, NR_026909, ",0.372,2.068,2.218,2.297,2.028,1.863,2.776,9.329,7.013,2.657,2.607
ARID3C,"NM_001017363, ",0.0,0.0,0.0,0.0,0.176,0.0,0.0,0.0,0.0,0.0,0.0
KIAA1486,"NM_020864, ",3.245,1.721,0.749,1.505,0.665,0.566,0.135,0.0,0.117,0.173,0.262
TOB2,"NM_016272, ",7.831,4.857,3.775,3.271,6.884,12.225,7.219,6.951,12.253,19.882,13.052
BANK1,"NM_001083907, NM_001127507, NM_017935, ",2.766,2.701,1.395,4.769,2.517,2.582,0.0,0.0,0.0,0.0,0.0
OR2V2,"NM_206880, ",0.172,0.099,0.045,0.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFTA2,"NM_205854, NM_205854, NM_205854, NM_205854, NM_205854, NM_205854, ",0.0,0.0,0.03,0.0,0.035,0.0,0.239,0.0,0.0,0.0,0.0
GRM2,"NM_000839, NM_001130063, ",0.0,0.0,0.019,0.038,0.194,0.0,0.044,0.0,1.493,0.852,0.888
PROSC,"NM_007198, ",65.674,37.521,20.674,17.331,11.027,10.017,35.265,16.322,19.18,17.76,28.351
SPIN2B,"NM_001006681, NM_001006682, NM_001006683, ",0.0,0.091,0.0,0.032,4.554,1.802,0.0,0.0,0.802,6.802,6.734
PIR,"NM_001018109, NM_003662, ",0.391,0.304,0.308,0.609,0.11,0.0,25.785,47.367,30.33,12.065,17.592
IPO9,"NM_018085, ",5.726,5.532,4.124,4.759,4.913,3.312,8.691,8.229,7.728,13.858,20.135
FLJ26850,"NR_027257, ",0.972,0.074,0.103,0.025,0.17,0.048,0.0,0.0,0.0,0.0,0.0
EVC,"NM_153717, ",0.259,0.562,0.271,0.428,0.09,0.0,0.0,0.0,0.0,0.087,0.353
CXCL13,"NM_006419, ",0.0,0.0,0.0,0.014,0.253,0.0,0.0,0.0,0.0,0.0,0.0
KIAA1199,"NM_018689, ",0.061,0.209,0.146,0.253,0.107,0.067,0.0,0.0,0.0,0.012,0.005
SORL1,"NM_003105, ",1.281,0.705,0.34,0.768,0.271,0.206,0.363,0.485,1.603,11.742,11.694
NAT10,"NM_001144030, NM_024662, ",3.356,15.832,13.581,16.003,7.872,6.391,11.102,10.254,6.858,8.615,9.91
CHD1,"NM_001270, ",20.132,22.519,10.272,5.124,30.519,26.59,15.173,6.681,13.26,18.203,10.194
SYN3,"NM_001135774, NM_003490, NM_133633, ",1.183,2.785,1.848,2.833,0.786,0.861,0.087,0.0,0.0,2.005,6.627
SLC22A2,"NM_003058, ",3.894,2.531,4.464,2.43,0.843,0.166,0.0,0.0,0.0,0.035,0.375
SERPINF1,"NM_002615, ",83.895,50.572,36.642,120.288,92.323,84.159,5.834,2.801,0.0,3.719,8.346
WDR34,"NM_052844, ",11.581,9.989,9.659,17.227,8.743,13.533,34.926,45.075,12.592,36.712,33.79
OR7A17,"NM_030901, ",0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
POTED,"NM_174981, ",0.0,0.126,0.024,0.079,0.121,0.042,0.0,0.0,0.0,0.0,0.0
C9orf11,"NM_001161585, NM_020641, ",0.0,0.0,0.0,0.0,0.074,0.0,0.136,0.0,0.0,0.0,0.016
EPT1,"NM_033505, ",1.823,4.71,3.206,5.065,6.066,4.125,9.152,8.499,5.75,4.763,4.344
RNF216L,"NR_015449, NR_023384, NR_023385, ",61.454,34.514,43.012,32.695,51.689,66.847,17.781,8.507,15.723,45.011,21.86
LHB,"NM_000894, ",0.077,0.102,0.649,0.109,4.879,4.983,0.0,0.0,0.0,0.916,0.287
TAOK3,"NM_016281, ",349.543,245.125,145.388,100.939,85.275,61.819,60.155,25.807,41.417,8.001,5.53
STK25,"NM_006374, ",16.312,16.435,9.511,19.085,8.808,6.893,19.967,19.21,13.242,31.165,38.857
C3orf39,"NM_032806, ",5.037,4.743,2.212,2.51,1.955,5.469,8.397,6.468,7.5,14.293,10.63
CDC25B,"NM_004358, NM_021872, NM_021873, ",54.78,89.771,108.136,115.626,101.958,134.143,8.634,6.722,28.116,2.615,5.317
BMP3,"NM_001201, ",0.0,0.0,0.0,0.066,0.0,0.043,0.036,0.0,0.025,0.016,0.025
TMEM180,"NM_024789, ",0.036,0.0,0.06,0.0,2.608,7.19,2.954,1.607,0.211,3.237,5.736
MAP1LC3C,"NM_001004343, ",8.026,8.112,7.418,5.973,9.277,10.846,6.237,8.588,6.005,11.563,12.942
MIR564,"NR_030290, ",0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.306,0.094,0.028
CRYGC,"NM_020989, ",0.0,0.0,0.0,0.2,6.424,1.733,1.385,1.591,0.0,0.0,0.007
POU3F1,"NM_002699, ",0.077,0.055,0.027,0.224,0.593,0.211,0.0,0.0,0.0,1.1,1.249
C4orf11,"NR_024087, NR_024088, ",0.0,0.0,0.0,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIGD1B,"NM_016438, ",0.0,0.0,0.0,0.032,0.0,0.019,0.076,0.046,0.0,0.0,0.478
USP6NL,"NM_001080491, NM_014688, ",1.464,7.959,4.765,10.581,6.033,2.185,2.196,4.03,0.024,2.735,4.93
ABCD4,"NM_005050, NR_003256, ",78.981,29.673,22.579,35.282,10.793,6.149,2.392,14.501,11.526,19.372,22.637
C11orf93,"NM_001136105, ",0.0,0.0,0.0,0.258,1.108,0.0,0.0,0.0,0.0,1.063,0.653
DIMT1L,"NM_014473, ",11.313,14.063,7.473,13.192,41.347,41.745,87.869,48.971,51.532,39.579,43.643
TEK,"NM_000459, ",4.908,15.568,4.143,11.693,3.879,0.025,0.0,0.585,0.132,0.136,3.268
SLC25A46,"NM_138773, ",26.386,94.471,86.194,107.782,46.724,11.343,12.141,7.496,14.975,11.022,6.439
LARP7,"NM_015454, NM_016648, ",383.005,577.784,289.195,69.248,28.691,43.818,65.775,26.641,20.803,51.502,33.31
CD160,"NM_007053, ",0.0,0.0,0.046,0.095,0.186,0.058,0.0,0.0,0.0,0.037,0.157
PHF20,"NM_016436, ",25.294,17.08,9.935,12.986,9.467,12.433,5.354,5.641,8.51,25.419,25.705
CPNE4,"NM_130808, ",4.099,7.632,4.856,9.369,1.545,0.612,0.366,0.0,0.0,0.586,0.734
GTPBP1,"NM_004286, ",0.469,2.516,2.162,3.621,2.344,2.183,3.357,1.656,1.013,6.996,10.255
RAB33B,"NM_031296, ",1.199,2.635,1.11,2.897,8.109,3.022,1.295,2.008,0.34,2.198,1.866
ALDOC,"NM_005165, ",0.0,0.0,0.0,0.015,11.28,1.328,0.135,21.311,2.322,27.162,38.259
ZNF212,"NM_012256, ",1.226,5.898,3.172,9.339,19.868,19.797,2.558,2.979,5.64,4.491,5.402
NUDT1,"NM_002452, NM_198948, NM_198949, NM_198950, NM_198952, NM_198953, NM_198954, ",7.729,3.258,1.659,4.007,14.362,46.072,46.822,57.914,74.691,100.314,157.564
RFPL2,"NM_001098527, NM_001159545, NM_001159546, NM_006605, ",0.451,0.097,0.0,6.461,157.669,24.927,0.016,0.015,0.0,0.0,0.014
ZNF83,"NM_001105549, NM_001105550, NM_001105551, NM_001105552, NM_001105553, NM_001105554, NM_018300, NR_003936, ",1.911,6.191,3.649,14.034,7.702,9.082,4.217,10.646,0.29,3.349,2.948
IPW,"NR_023915, ",0.387,0.852,0.581,0.895,0.365,0.74,3.179,3.396,2.268,53.589,38.527
GDPD5,"NM_030792, ",0.131,1.314,1.579,1.862,1.044,0.532,5.226,0.594,0.568,0.084,1.614
PDCD4,"NM_014456, NM_145341, ",2.621,4.055,2.443,2.58,4.567,1.433,0.868,0.181,1.059,2.465,3.998
LOC100128788,"NR_027274, NR_027275, ",0.746,0.224,0.244,0.527,1.734,0.433,1.244,0.085,0.044,0.231,0.775
CEP350,"NM_014810, ",10.755,8.489,4.783,4.921,8.313,6.63,6.642,0.411,6.251,4.399,4.747
OR10A2,"NM_001004460, ",0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0
CST7,"NM_003650, ",0.0,0.0,0.0,0.0,0.023,0.011,0.0,0.0,0.0,0.0,0.0
SELL,"NM_000655, NR_029467, ",0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0
CIAO1,"NM_004804, ",11.113,6.377,3.45,4.272,11.441,23.48,46.539,46.454,58.179,33.585,30.078
LTBP4,"NM_001042544, NM_001042545, NM_003573, ",0.686,0.873,0.827,2.48,1.016,0.374,0.069,0.023,0.601,0.421,0.732
DCAF4L1,"NM_001029955, ",9.394,13.049,11.584,16.785,10.779,5.741,0.42,0.0,1.463,0.12,0.362
SIRT6,"NM_001193285, NM_016539, ",0.293,1.1,1.626,0.724,2.354,2.58,1.687,2.117,1.191,2.311,3.849
CCL19,"NM_006274, ",0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPIL1,"NM_016059, ",53.617,31.504,20.388,12.462,64.714,131.497,155.116,128.623,92.362,153.272,126.8
GBP7,"NM_207398, ",0.0,0.0,0.0,0.022,0.02,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD56,"NM_001029870, ",0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.099,0.0,0.038
STK17A,"NM_004760, ",0.156,0.239,0.019,0.218,9.343,11.778,5.23,1.004,7.129,4.266,2.305
ABR,"NM_001092, NM_001159746, NM_021962, ",4.074,5.947,6.649,19.461,5.222,1.972,8.367,11.164,22.135,2.651,2.655
PCDHA13,"NM_018904, NM_031865, ",0.0,0.0,0.0,0.0,0.086,0.333,0.0,0.0,0.0,0.18,0.482
FOXE1,"NM_004473, ",0.245,0.285,0.163,0.531,0.272,0.732,1.236,0.0,0.024,0.0,0.0
SIAH3,"NM_198849, ",1.445,0.775,1.023,2.646,1.438,1.658,0.0,0.0,0.0,0.0,0.0
RIMBP3B,"NM_001128635, NM_001128635, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
GML,"NM_002066, ",8.509,4.227,5.321,7.698,1.667,1.391,0.0,0.0,0.0,0.0,0.009
CNGA3,"NM_001079878, NM_001298, ",0.0,0.0,0.0,0.129,0.018,0.0,0.0,0.0,0.0,0.0,0.0
CD38,"NM_001775, ",3.706,9.771,5.112,15.018,2.268,2.406,0.044,0.033,0.0,0.0,0.015
ZDHHC6,"NM_022494, ",4.225,4.821,2.324,4.351,5.144,16.078,30.401,17.982,19.583,22.091,16.628
NEFH,"NM_021076, ",24.103,60.539,48.108,24.41,26.088,40.474,16.443,9.85,54.356,13.097,3.142
DLX6AS,"NR_015448, ",0.0,0.423,0.072,0.0,0.142,0.098,0.06,0.0,0.052,0.032,0.011
PGBD5,"NM_024554, ",4.043,1.856,1.411,2.344,0.09,0.512,0.0,0.0,0.0,5.223,3.424
CTDSP2,"NM_005730, ",7.329,6.887,7.264,9.411,22.339,12.469,7.713,11.902,6.319,21.67,13.441
ZNF257,"NM_033468, ",1.112,4.699,4.341,1.423,5.409,8.602,5.583,4.2,15.328,5.034,3.404
RMND5B,"NM_022762, ",0.646,8.582,6.845,12.591,2.764,2.855,6.396,13.484,4.689,11.95,13.298
CCNY,"NM_145012, NM_181698, ",9.996,4.607,3.325,3.107,2.061,2.611,20.064,21.979,20.574,15.561,16.331
EXOSC7,"NM_015004, NR_023353, ",236.906,100.259,97.034,127.23,30.042,40.138,66.957,105.712,73.035,89.162,91.429
C11orf88,"NM_001100388, NM_207430, ",0.0,0.0,0.0,0.0,1.931,1.556,1.235,6.644,0.0,0.0,0.0
ROR2,"NM_004560, ",0.0,0.04,0.0,0.291,0.888,0.14,0.0,0.0,0.0,0.901,0.954
LOC338758,"NR_028138, ",0.239,0.228,0.076,0.385,0.955,1.133,0.164,0.037,0.077,0.494,3.969
MAOA,"NM_000240, ",0.0,0.0,0.0,0.0,0.653,0.042,1.087,0.022,0.0,0.084,1.272
TNNT3,"NM_001042780, NM_001042781, NM_001042782, NM_006757, ",0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYPC,"NM_002101, NM_016815, ",0.0,0.0,0.0,0.0,0.0,0.0,0.054,36.513,52.914,4.092,10.096
MIR3120,"NR_036066, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7orf33,"NM_145304, ",0.121,0.039,0.096,0.279,0.171,0.107,0.0,0.0,0.0,0.0,0.0
RNF4,"NM_001185009, NM_001185010, NM_002938, ",33.378,42.425,25.627,28.438,197.041,97.876,52.645,50.589,46.205,65.545,48.132
F8A1,"NM_012151, NM_012151, NM_012151, ",4.677,11.218,7.876,5.996,0.964,0.729,0.0,0.0,0.778,6.859,7.595
HDAC7,"NM_001098416, NM_015401, ",0.0,0.0,0.0,0.0,0.051,0.48,0.538,2.058,1.545,12.458,9.51
PLEKHG4,"NM_001129727, NM_001129728, NM_001129729, NM_001129731, NM_015432, ",0.0,0.0,0.0,0.0,0.0,0.051,0.309,0.256,0.025,0.687,0.724
GRIK1AS,"NR_027021, ",0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.0
GRB2,"NM_002086, NM_203506, ",2.053,1.808,0.394,0.902,108.903,57.706,59.69,58.19,42.356,55.824,45.537
AGPHD1,"NM_001013619, NM_001083612, ",2.411,0.795,0.359,0.841,5.048,5.164,2.156,5.291,0.384,2.86,2.342
HSPC072,"NR_026883, NR_026884, ",0.091,0.137,0.086,0.118,0.384,1.5,0.09,0.021,0.063,0.011,0.565
HIST1H2AD,"NM_021065, ",0.0,0.0,0.0,0.308,13.874,2.535,2.831,0.0,0.045,0.14,4.419
DUS3L,"NM_001161619, NM_020175, ",0.344,0.918,0.503,0.327,6.756,12.161,6.043,11.21,13.906,11.367,5.818
EIF1,"NM_005801, ",1328.618,912.229,1205.919,1079.156,2196.775,2458.513,859.283,979.585,966.285,436.112,569.573
C3orf66,"NR_026767, ",0.0,0.0,0.0,0.009,0.2,0.007,0.0,0.0,0.0,0.0,0.0
FPGT,"NM_003838, ",2.269,4.716,2.551,1.774,0.529,2.411,1.721,0.095,0.59,2.505,0.61
CHST15,"NM_015892, ",8.293,6.134,2.872,7.325,3.186,7.055,2.192,2.076,3.055,4.046,3.525
GPN2,"NM_018066, ",4.246,12.568,9.808,14.158,7.663,24.302,5.432,20.402,7.502,9.834,12.08
GDF10,"NM_004962, ",0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0
COQ9,"NM_020312, ",15.34,7.225,4.913,10.967,9.622,7.795,16.544,23.762,40.552,19.588,18.278
TRAPPC9,"NM_001160372, NM_031466, ",1.933,2.158,1.35,4.111,1.368,0.173,0.087,1.214,0.0,0.405,0.672
DKFZP434I0714,"NR_033797, ",0.0,0.158,0.0,0.159,0.598,3.903,0.478,0.0,0.0,1.406,1.62
GCC2,"NM_181453, NR_028063, ",27.734,25.428,19.213,10.157,10.951,13.441,7.2,5.338,9.614,7.081,10.181
RARRES3,"NM_004585, ",0.053,0.035,0.059,0.0,0.049,0.0,0.0,0.0,0.0,1.899,1.103
PLXNA1,"NM_032242, ",0.929,0.761,1.001,1.154,0.615,0.8,1.786,4.265,2.25,1.688,3.139
KIAA0100,"NM_014680, ",0.456,3.316,2.594,4.14,1.863,0.698,0.65,0.713,0.251,0.51,1.728
PMF1,"NM_007221, ",2.309,1.516,1.423,3.437,1.37,1.408,43.89,36.788,20.406,95.143,123.165
FNDC1,"NM_032532, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.074
HS2ST1,"NM_001134492, NM_012262, ",1.395,2.684,1.711,1.16,4.04,2.111,1.828,3.075,4.128,2.859,2.022
CRELD2,"NM_001135101, NM_024324, ",73.487,47.363,38.871,43.169,20.985,7.776,3.375,1.78,6.562,13.394,6.423
CD82,"NM_001024844, NM_002231, ",52.779,74.342,80.899,74.576,36.871,108.948,6.02,3.186,6.395,12.252,14.289
C8G,"NM_000606, ",0.076,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.126
LOC100132526,"NR_036481, ",0.125,0.389,0.287,0.278,0.237,0.217,0.115,0.0,0.081,0.183,0.103
LIM2,"NM_001161748, NM_030657, ",0.0,0.0,0.0,0.031,0.627,1.143,0.014,9.9,6.493,0.0,0.13
MMP16,"NM_005941, NM_022564, ",0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.924,0.825
MIMT1,"NR_024059, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC100133091,"NR_029411, ",0.172,0.152,0.082,0.224,1.024,1.092,0.279,0.507,0.961,1.469,0.574
DRD3,"NM_000796, NM_033663, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.301
PTP4A2,"NM_080391, NM_080392, ",106.227,105.469,75.662,82.115,65.308,47.113,144.138,41.384,93.05,156.57,97.829
OR4M2,"NM_001004719, ",0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
C11orf73,"NM_016401, NR_024596, NR_024597, NR_024598, ",15.973,4.035,2.146,5.335,3.45,3.318,89.329,73.694,54.593,93.877,104.991
HPCA,"NM_002143, ",0.044,0.113,0.051,0.188,0.183,0.197,0.0,0.0,0.0,0.0,0.006
SEC14L1,"NM_001039573, NM_001143998, NM_001143999, NM_001144001, NM_003003, ",49.972,37.991,36.495,53.398,25.919,15.912,3.123,2.488,2.843,8.03,6.751
EMILIN1,"NM_007046, ",0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.012,0.185
CHFR,"NM_001161344, NM_001161345, NM_001161346, NM_001161347, NM_018223, ",16.616,12.308,5.756,12.762,6.196,3.457,8.68,16.677,7.995,10.074,9.289
NDUFS4,"NM_002495, ",30.881,23.226,21.247,40.521,42.364,30.727,107.323,114.903,92.916,116.326,132.292
COL18A1,"NM_030582, NM_130444, NM_130445, ",0.065,0.745,0.907,0.948,0.109,0.01,0.014,0.936,2.164,4.119,12.428
PDZD3,"NM_001168468, NM_024791, NR_033122, ",0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRAMEF7,"NM_001012277, NM_001012277, ",0.0,0.0,0.0,6.77,20.286,1.154,0.0,0.0,0.0,0.0,0.0
WBSCR26,"NR_026690, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505
C9orf16,"NM_024112, ",2.752,2.931,2.444,10.334,16.887,16.432,4.732,46.275,8.382,70.771,145.251
ERBB2IP,"NM_001006600, NM_018695, ",2.772,8.949,5.033,5.465,4.393,5.21,11.746,6.086,18.847,1.802,2.782
FUS,"NM_001170634, NM_001170937, NM_004960, NR_028388, ",1.069,8.098,9.767,2.697,32.455,35.827,21.179,26.47,17.191,22.618,38.891
EMX2,"NM_001165924, NM_004098, ",0.119,1.546,3.02,1.622,1.346,1.446,0.948,0.523,0.811,0.716,0.75
TF,"NM_001063, ",0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.139,0.217
CXorf56,"NM_001170569, NM_001170570, NM_022101, ",31.517,30.947,21.52,21.747,32.159,15.432,6.136,7.902,2.854,5.913,4.907
CLCN4,"NM_001830, ",6.563,10.817,4.511,9.657,2.215,1.667,0.0,0.0,0.0,0.972,1.149
NPR1,"NM_000906, ",0.0,0.0,0.0,0.0,0.32,0.462,0.0,0.0,0.0,0.901,1.701
ELAC2,"NM_001165962, NM_018127, NM_173717, ",9.261,17.436,10.464,24.641,30.847,22.792,23.09,22.789,26.623,12.731,16.918
CELA1,"NM_001971, ",1.678,1.594,0.915,2.353,1.844,1.861,2.751,3.182,0.0,0.0,0.014
ASS1,"NM_000050, NM_054012, ",3.217,5.008,3.264,10.284,2.234,0.435,25.251,46.488,4.366,26.593,96.231
USP42,"NM_032172, ",0.17,0.375,0.209,0.553,5.797,4.366,1.789,0.0,6.648,4.602,2.996
SEC23IP,"NM_007190, ",19.64,20.096,13.698,15.394,5.137,7.314,10.068,5.334,5.117,23.694,13.701
POLR2J,"NM_006234, ",126.448,67.446,93.417,94.435,58.13,35.077,71.313,99.34,36.073,38.268,55.975
C6orf176,"NR_026860, NR_026861, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127
UQCRC1,"NM_003365, ",10.593,12.753,5.852,13.632,20.365,48.75,147.326,243.102,109.718,146.794,275.915
LOC729603,"NR_003288, ",0.404,1.108,1.421,0.736,2.162,3.389,2.348,0.592,1.443,4.138,4.199
